Time     Event           AGV ID   Edge     Battery  Status      
10:06    Start Edge      AGV_2    7→8      40.0     Travelling  
10:06    Charge Start    AGV_1    -        13.0     Charging    
10:10    Completed Edge  AGV_3    2→3      15.0     Busy        
10:11    Completed Edge  AGV_2    7→8      35.0     Busy        
10:11    Start Edge      AGV_2    8→7      32.0     Travelling  
10:17    Charge Complete AGV_1    -        45       Free        
10:17    Start Edge      AGV_1    5→2      40.0     Travelling  
10:19    Completed Edge  AGV_2    8→7      24.0     Busy        
10:19    Start Edge      AGV_2    7→4      27.0     Travelling  
10:22    Completed Edge  AGV_1    5→2      35.0     Busy        
10:22    Start Edge      AGV_1    2→3      35.0     Travelling  
10:24    Completed Edge  AGV_2    7→4      22.0     Busy        
10:24    Start Edge      AGV_2    4→1      17.0     Travelling  
10:27    Completed Edge  AGV_1    2→3      30.0     Busy        
10:27    Start Edge      AGV_1    3→2      27.0     Travelling  
10:34    Completed Edge  AGV_2    4→1      7.0      Busy        
10:35    Completed Edge  AGV_1    3→2      19.0     Busy        
10:35    Charge Start    AGV_1    -        27.0     Charging    
10:41    Charge Complete AGV_1    -        45       Free        
10:41    Start Edge      AGV_1    2→5      40.0     Travelling  
10:41    Charge Start    AGV_2    -        17.0     Charging    
10:46    Completed Edge  AGV_1    2→5      35.0     Busy        
10:46    Start Edge      AGV_1    5→8      35.0     Travelling  
10:51    Completed Edge  AGV_1    5→8      30.0     Busy        
10:51    Start Edge      AGV_1    8→5      29.0     Travelling  
10:51    Charge Complete AGV_2    -        45       Free        
10:51    Start Edge      AGV_2    1→4      40.0     Travelling  
10:56    Completed Edge  AGV_2    1→4      35.0     Busy        
10:56    Start Edge      AGV_2    4→7      33.0     Travelling  
10:57    Completed Edge  AGV_1    8→5      23.0     Busy        
10:57    Charge Start    AGV_1    -        29.0     Charging    
11:03    Charge Complete AGV_1    -        45       Free        
11:03    Start Edge      AGV_1    5→8      40.0     Travelling  
11:03    Completed Edge  AGV_2    4→7      26.0     Busy        
11:03    Start Edge      AGV_2    7→8      26.0     Travelling  
11:08    Completed Edge  AGV_1    5→8      35.0     Busy        
11:08    Start Edge      AGV_1    8→5      34.0     Travelling  
11:10    Completed Edge  AGV_2    7→8      19.0     Busy        
11:10    Charge Start    AGV_2    -        26.0     Charging    
11:14    Completed Edge  AGV_1    8→5      28.0     Busy        
11:14    Start Edge      AGV_1    5→2      28.0     Travelling  
11:17    Charge Complete AGV_2    -        45       Free        
11:17    Start Edge      AGV_2    8→7      38.0     Travelling  
11:20    Completed Edge  AGV_1    5→2      22.0     Busy        
11:20    Charge Start    AGV_1    -        28.0     Charging    
11:24    Completed Edge  AGV_2    8→7      31.0     Busy        
11:24    Start Edge      AGV_2    7→4      31.0     Travelling  
11:26    Charge Complete AGV_1    -        45       Free        
11:26    Start Edge      AGV_1    2→1      35.0     Travelling  
11:31    Completed Edge  AGV_2    7→4      24.0     Busy        
11:31    Charge Start    AGV_2    -        31.0     Charging    
11:36    Completed Edge  AGV_1    2→1      25.0     Busy        
11:36    Start Edge      AGV_1    1→4      25.0     Travelling  
11:36    Charge Complete AGV_2    -        45       Free        
11:36    Start Edge      AGV_2    4→7      37.0     Travelling  
11:44    Completed Edge  AGV_2    4→7      29.0     Busy        
11:44    Start Edge      AGV_2    7→8      29.0     Travelling  
11:46    Completed Edge  AGV_1    1→4      15.0     Busy        
11:46    Charge Start    AGV_1    -        25.0     Charging    
11:52    Completed Edge  AGV_2    7→8      21.0     Busy        
11:53    Charge Complete AGV_1    -        45       Free        
11:53    Start Edge      AGV_1    4→1      39.0     Travelling  
11:53    Charge Start    AGV_2    -        29.0     Charging    
11:59    Completed Edge  AGV_1    4→1      33.0     Busy        
11:59    Start Edge      AGV_1    1→2      33.0     Travelling  
11:59    Charge Complete AGV_2    -        45       Free        
11:59    Start Edge      AGV_2    8→5      38.0     Travelling  
12:05    Completed Edge  AGV_1    1→2      27.0     Busy        
12:05    Start Edge      AGV_1    2→5      27.0     Travelling  
12:06    Completed Edge  AGV_2    8→5      31.0     Busy        
12:11    Completed Edge  AGV_1    2→5      21.0     Busy        
12:11    Charge Start    AGV_1    -        27.0     Charging    
12:11    Start Edge      AGV_2    5→2      31.0     Travelling  
12:17    Charge Complete AGV_1    -        45       Free        
12:17    Start Edge      AGV_1    5→8      40.0     Travelling  
12:18    Completed Edge  AGV_2    5→2      24.0     Busy        
12:18    Start Edge      AGV_2    2→3      24.0     Travelling  
12:22    Completed Edge  AGV_1    5→8      35.0     Busy        
12:22    Start Edge      AGV_1    8→5      34.0     Travelling  
12:25    Completed Edge  AGV_2    2→3      17.0     Busy        
12:25    Charge Start    AGV_2    -        24.0     Charging    
12:28    Completed Edge  AGV_1    8→5      28.0     Busy        
12:28    Start Edge      AGV_1    5→2      28.0     Travelling  
12:32    Charge Complete AGV_2    -        45       Free        
12:32    Start Edge      AGV_2    3→2      40.0     Travelling  
12:34    Completed Edge  AGV_1    5→2      22.0     Busy        
12:34    Charge Start    AGV_1    -        28.0     Charging    
12:37    Completed Edge  AGV_2    3→2      35.0     Busy        
12:37    Start Edge      AGV_2    2→1      35.0     Travelling  
12:40    Charge Complete AGV_1    -        45       Free        
12:40    Start Edge      AGV_1    2→5      40.0     Travelling  
12:42    Completed Edge  AGV_2    2→1      30.0     Busy        
12:42    Start Edge      AGV_2    1→4      25.0     Travelling  
12:45    Completed Edge  AGV_1    2→5      35.0     Busy        
12:45    Start Edge      AGV_1    5→8      35.0     Travelling  
12:50    Completed Edge  AGV_1    5→8      30.0     Busy        
12:50    Start Edge      AGV_1    8→5      29.0     Travelling  
12:52    Completed Edge  AGV_2    1→4      15.0     Busy        
12:56    Completed Edge  AGV_1    8→5      23.0     Busy        
12:56    Charge Start    AGV_1    -        29.0     Charging    
13:02    Charge Complete AGV_1    -        45       Free        
13:02    Start Edge      AGV_1    5→2      40.0     Travelling  
13:02    Charge Start    AGV_2    -        25.0     Charging    
13:07    Completed Edge  AGV_1    5→2      35.0     Busy        
13:07    Start Edge      AGV_1    2→3      35.0     Travelling  
13:09    Charge Complete AGV_2    -        45       Free        
13:09    Start Edge      AGV_2    4→7      40.0     Travelling  
13:12    Completed Edge  AGV_1    2→3      30.0     Busy        
13:12    Start Edge      AGV_1    3→2      29.0     Travelling  
13:14    Completed Edge  AGV_2    4→7      35.0     Busy        
13:14    Start Edge      AGV_2    7→8      32.0     Travelling  
13:18    Completed Edge  AGV_1    3→2      23.0     Busy        
13:18    Start Edge      AGV_1    2→1      23.0     Travelling  
13:22    Completed Edge  AGV_2    7→8      24.0     Busy        
13:24    Completed Edge  AGV_1    2→1      17.0     Busy        
13:24    Charge Start    AGV_1    -        23.0     Charging    
13:32    Charge Complete AGV_1    -        45       Free        
13:32    Start Edge      AGV_1    1→2      40.0     Travelling  
13:32    Charge Start    AGV_2    -        32.0     Charging    
13:37    Completed Edge  AGV_1    1→2      35.0     Busy        
13:37    Start Edge      AGV_1    2→5      35.0     Travelling  
13:37    Charge Complete AGV_2    -        45       Free        
13:42    Completed Edge  AGV_1    2→5      30.0     Busy        
13:42    Start Edge      AGV_1    5→8      30.0     Travelling  
13:47    Completed Edge  AGV_1    5→8      25.0     Busy        
13:47    Start Edge      AGV_1    8→5      23.0     Travelling  
13:54    Completed Edge  AGV_1    8→5      16.0     Busy        
13:54    Start Edge      AGV_1    5→6      17.0     Travelling  
13:54    Start Edge      AGV_2    8→5      35.0     Travelling  
14:00    Completed Edge  AGV_1    5→6      11.0     Busy        
14:00    Charge Start    AGV_1    -        17.0     Charging    
14:04    Completed Edge  AGV_2    8→5      25.0     Busy        
14:10    Charge Complete AGV_1    -        45       Free        
14:10    Start Edge      AGV_1    6→5      40.0     Travelling  
14:15    Completed Edge  AGV_1    6→5      35.0     Busy        
14:15    Start Edge      AGV_1    5→6      30.0     Travelling  
14:25    Completed Edge  AGV_1    5→6      20.0     Busy        
14:25    Start Edge      AGV_1    6→3      25.0     Travelling  
14:25    Start Edge      AGV_2    5→6      25.0     Travelling  
14:30    Completed Edge  AGV_1    6→3      20.0     Busy        
14:30    Start Edge      AGV_1    3→6      15.0     Travelling  
14:35    Completed Edge  AGV_2    5→6      15.0     Busy        
14:35    Start Edge      AGV_2    6→5      18.0     Travelling  
14:40    Completed Edge  AGV_1    3→6      5.0      Busy        
14:40    Charge Start    AGV_1    -        15.0     Charging    
14:42    Completed Edge  AGV_2    6→5      11.0     Busy        
14:50    Charge Complete AGV_1    -        45       Free        
14:50    Start Edge      AGV_1    6→3      35.0     Travelling  
14:50    Charge Start    AGV_2    -        18.0     Charging    
14:59    Charge Complete AGV_2    -        45       Free        
14:59    Start Edge      AGV_2    5→2      35.0     Travelling  
15:00    Completed Edge  AGV_1    6→3      25.0     Busy        
15:00    Start Edge      AGV_1    3→6      28.0     Travelling  
15:07    Completed Edge  AGV_1    3→6      21.0     Busy        
15:07    Start Edge      AGV_1    6→5      23.0     Travelling  
15:09    Completed Edge  AGV_2    5→2      25.0     Busy        
15:09    Start Edge      AGV_2    2→1      25.0     Travelling  
15:12    Completed Edge  AGV_1    6→5      18.0     Busy        
15:12    Start Edge      AGV_1    5→6      16.0     Travelling  
15:19    Completed Edge  AGV_1    5→6      9.0      Busy        
15:19    Charge Start    AGV_1    -        16.0     Charging    
15:19    Completed Edge  AGV_2    2→1      15.0     Busy        
15:19    Start Edge      AGV_2    1→4      15.0     Travelling  
15:29    Charge Complete AGV_1    -        45       Free        
15:29    Start Edge      AGV_1    6→3      40.0     Travelling  
15:29    Completed Edge  AGV_2    1→4      5.0      Busy        
15:29    Charge Start    AGV_2    -        15.0     Charging    
15:34    Completed Edge  AGV_1    6→3      35.0     Busy        
15:34    Start Edge      AGV_1    3→2      35.0     Travelling  
15:39    Completed Edge  AGV_1    3→2      30.0     Busy        
15:39    Start Edge      AGV_1    2→1      30.0     Travelling  
15:39    Charge Complete AGV_2    -        45       Free        
15:44    Completed Edge  AGV_1    2→1      25.0     Busy        
15:44    Start Edge      AGV_1    1→4      24.0     Travelling  
15:50    Completed Edge  AGV_1    1→4      18.0     Busy        
15:50    Charge Start    AGV_1    -        24.0     Charging    
15:57    Charge Complete AGV_1    -        45       Free        
15:57    Start Edge      AGV_1    4→1      40.0     Travelling  
16:02    Completed Edge  AGV_1    4→1      35.0     Busy        
16:02    Start Edge      AGV_1    1→2      35.0     Travelling  
16:02    Start Edge      AGV_2    4→1      35.0     Travelling  
16:07    Completed Edge  AGV_1    1→2      30.0     Busy        
16:07    Start Edge      AGV_1    2→5      30.0     Travelling  
16:12    Completed Edge  AGV_1    2→5      25.0     Busy        
16:12    Start Edge      AGV_1    5→6      24.0     Travelling  
16:12    Completed Edge  AGV_2    4→1      25.0     Busy        
16:12    Start Edge      AGV_2    1→2      25.0     Travelling  
16:18    Completed Edge  AGV_1    5→6      18.0     Busy        
16:18    Charge Start    AGV_1    -        24.0     Charging    
16:22    Completed Edge  AGV_2    1→2      15.0     Busy        
16:25    Charge Complete AGV_1    -        45       Free        
16:25    Start Edge      AGV_1    6→5      40.0     Travelling  
16:25    Charge Start    AGV_2    -        25.0     Charging    
16:30    Completed Edge  AGV_1    6→5      35.0     Busy        
16:30    Start Edge      AGV_1    5→2      32.0     Travelling  
16:32    Charge Complete AGV_2    -        45       Free        
16:38    Completed Edge  AGV_1    5→2      24.0     Busy        
16:38    Start Edge      AGV_1    2→1      24.0     Travelling  
16:38    Start Edge      AGV_2    2→5      35.0     Travelling  
16:46    Completed Edge  AGV_1    2→1      16.0     Busy        
16:46    Charge Start    AGV_1    -        24.0     Charging    
16:48    Completed Edge  AGV_2    2→5      25.0     Busy        
16:48    Start Edge      AGV_2    5→8      25.0     Travelling  
16:53    Charge Complete AGV_1    -        45       Free        
16:53    Start Edge      AGV_1    1→2      40.0     Travelling  
16:58    Completed Edge  AGV_1    1→2      35.0     Busy        
16:58    Start Edge      AGV_1    2→3      35.0     Travelling  
16:58    Completed Edge  AGV_2    5→8      15.0     Busy        
16:58    Charge Start    AGV_2    -        25.0     Charging    
17:03    Completed Edge  AGV_1    2→3      30.0     Busy        
17:03    Start Edge      AGV_1    3→2      27.0     Travelling  
17:05    Charge Complete AGV_2    -        45       Free        
17:05    Start Edge      AGV_2    8→5      40.0     Travelling  
17:10    Completed Edge  AGV_2    8→5      35.0     Busy        
17:10    Start Edge      AGV_2    5→6      35.0     Travelling  
17:11    Completed Edge  AGV_1    3→2      19.0     Busy        
17:11    Charge Start    AGV_1    -        27.0     Charging    
17:15    Completed Edge  AGV_2    5→6      30.0     Busy        
17:15    Start Edge      AGV_2    6→5      29.0     Travelling  
17:17    Charge Complete AGV_1    -        45       Free        
17:17    Start Edge      AGV_1    2→3      40.0     Travelling  
17:21    Completed Edge  AGV_2    6→5      23.0     Busy        
17:21    Charge Start    AGV_2    -        29.0     Charging    
17:22    Completed Edge  AGV_1    2→3      35.0     Busy        
17:22    Start Edge      AGV_1    3→2      34.0     Travelling  
17:27    Charge Complete AGV_2    -        45       Free        
17:27    Start Edge      AGV_2    5→8      35.0     Travelling  
17:28    Completed Edge  AGV_1    3→2      28.0     Busy        
17:28    Start Edge      AGV_1    2→1      28.0     Travelling  
17:34    Completed Edge  AGV_1    2→1      22.0     Busy        
17:34    Charge Start    AGV_1    -        28.0     Charging    
17:37    Completed Edge  AGV_2    5→8      25.0     Busy        
17:37    Start Edge      AGV_2    8→7      25.0     Travelling  
17:40    Charge Complete AGV_1    -        45       Free        
17:40    Start Edge      AGV_1    1→4      40.0     Travelling  
17:45    Completed Edge  AGV_1    1→4      35.0     Busy        
17:45    Start Edge      AGV_1    4→7      35.0     Travelling  
17:47    Completed Edge  AGV_2    8→7      15.0     Busy        
17:50    Completed Edge  AGV_1    4→7      30.0     Busy        
17:50    Start Edge      AGV_1    7→4      27.0     Travelling  
17:58    Completed Edge  AGV_1    7→4      19.0     Busy        
17:58    Charge Start    AGV_1    -        27.0     Charging    
18:04    Charge Complete AGV_1    -        45       Free        
18:04    Start Edge      AGV_1    4→7      40.0     Travelling  
18:09    Completed Edge  AGV_1    4→7      35.0     Busy        
18:09    Start Edge      AGV_1    7→4      34.0     Travelling  
18:15    Completed Edge  AGV_1    7→4      28.0     Busy        
18:15    Start Edge      AGV_1    4→1      28.0     Travelling  
18:21    Completed Edge  AGV_1    4→1      22.0     Busy        
18:21    Charge Start    AGV_1    -        28.0     Charging    
18:27    Charge Complete AGV_1    -        45       Free        
18:27    Start Edge      AGV_1    1→2      39.0     Travelling  
18:33    Completed Edge  AGV_1    1→2      33.0     Busy        
18:33    Start Edge      AGV_1    2→5      33.0     Travelling  
18:39    Completed Edge  AGV_1    2→5      27.0     Busy        
18:39    Start Edge      AGV_1    5→8      27.0     Travelling  
18:45    Completed Edge  AGV_1    5→8      21.0     Busy        
18:45    Charge Start    AGV_1    -        27.0     Charging    
18:51    Charge Complete AGV_1    -        45       Free        
18:51    Start Edge      AGV_1    8→7      40.0     Travelling  
18:56    Completed Edge  AGV_1    8→7      35.0     Busy        
18:56    Start Edge      AGV_1    7→4      35.0     Travelling  
19:01    Completed Edge  AGV_1    7→4      30.0     Busy        
19:01    Start Edge      AGV_1    4→1      28.0     Travelling  
19:08    Completed Edge  AGV_1    4→1      21.0     Busy        
19:08    Charge Start    AGV_1    -        28.0     Charging    
19:14    Charge Complete AGV_1    -        45       Free        
19:14    Start Edge      AGV_1    1→2      40.0     Travelling  
19:19    Completed Edge  AGV_1    1→2      35.0     Busy        
19:19    Start Edge      AGV_1    2→5      35.0     Travelling  
19:24    Completed Edge  AGV_1    2→5      30.0     Busy        
19:24    Start Edge      AGV_1    5→8      28.0     Travelling  
19:31    Completed Edge  AGV_1    5→8      21.0     Busy        
19:31    Start Edge      AGV_1    8→5      22.0     Travelling  
19:37    Completed Edge  AGV_1    8→5      16.0     Busy        
19:37    Start Edge      AGV_1    5→6      16.0     Travelling  
19:43    Completed Edge  AGV_1    5→6      10.0     Busy        
19:43    Charge Start    AGV_1    -        16.0     Charging    
19:53    Charge Complete AGV_1    -        45       Free        
19:53    Start Edge      AGV_1    6→5      40.0     Travelling  
19:58    Completed Edge  AGV_1    6→5      35.0     Busy        
19:58    Start Edge      AGV_1    5→8      35.0     Travelling  
20:03    Completed Edge  AGV_1    5→8      30.0     Busy        
20:03    Start Edge      AGV_1    8→5      28.0     Travelling  
20:10    Completed Edge  AGV_1    8→5      21.0     Busy        
20:10    Charge Start    AGV_1    -        28.0     Charging    
20:16    Charge Complete AGV_1    -        45       Free        
20:16    Start Edge      AGV_1    5→2      40.0     Travelling  
20:21    Completed Edge  AGV_1    5→2      35.0     Busy        
20:21    Start Edge      AGV_1    2→1      32.0     Travelling  
20:29    Completed Edge  AGV_1    2→1      24.0     Busy        
20:29    Start Edge      AGV_1    1→4      24.0     Travelling  
20:37    Completed Edge  AGV_1    1→4      16.0     Busy        
20:37    Charge Start    AGV_1    -        24.0     Charging    
20:44    Charge Complete AGV_1    -        45       Free        
20:44    Start Edge      AGV_1    4→1      40.0     Travelling  
20:49    Completed Edge  AGV_1    4→1      35.0     Busy        
20:49    Start Edge      AGV_1    1→2      34.0     Travelling  
20:55    Completed Edge  AGV_1    1→2      28.0     Busy        
20:55    Start Edge      AGV_1    2→3      28.0     Travelling  
21:01    Completed Edge  AGV_1    2→3      22.0     Busy        
21:01    Charge Start    AGV_1    -        28.0     Charging    
21:07    Charge Complete AGV_1    -        45       Free        
21:07    Start Edge      AGV_1    3→2      40.0     Travelling  
21:12    Completed Edge  AGV_1    3→2      35.0     Busy        
21:12    Start Edge      AGV_1    2→5      35.0     Travelling  
21:17    Completed Edge  AGV_1    2→5      30.0     Busy        
21:17    Start Edge      AGV_1    5→8      25.0     Travelling  
21:27    Completed Edge  AGV_1    5→8      15.0     Busy        
21:27    Charge Start    AGV_1    -        25.0     Charging    
21:34    Charge Complete AGV_1    -        45       Free        
21:34    Start Edge      AGV_1    8→5      40.0     Travelling  
21:39    Completed Edge  AGV_1    8→5      35.0     Busy        
21:39    Start Edge      AGV_1    5→2      35.0     Travelling  
21:44    Completed Edge  AGV_1    5→2      30.0     Busy        
21:44    Start Edge      AGV_1    2→1      30.0     Travelling  
21:49    Completed Edge  AGV_1    2→1      25.0     Busy        
21:49    Start Edge      AGV_1    1→4      23.0     Travelling  
21:56    Completed Edge  AGV_1    1→4      16.0     Busy        
21:56    Charge Start    AGV_1    -        23.0     Charging    
22:04    Charge Complete AGV_1    -        45       Free        
22:04    Start Edge      AGV_1    4→7      40.0     Travelling  
22:09    Completed Edge  AGV_1    4→7      35.0     Busy        
22:09    Start Edge      AGV_1    7→8      35.0     Travelling  
22:14    Completed Edge  AGV_1    7→8      30.0     Busy        
22:14    Start Edge      AGV_1    8→7      25.0     Travelling  
22:24    Completed Edge  AGV_1    8→7      15.0     Busy        
22:24    Charge Start    AGV_1    -        25.0     Charging    
22:31    Charge Complete AGV_1    -        45       Free        
22:31    Start Edge      AGV_1    7→8      40.0     Travelling  
22:36    Completed Edge  AGV_1    7→8      35.0     Busy        
22:36    Start Edge      AGV_1    8→5      33.0     Travelling  
22:43    Completed Edge  AGV_1    8→5      26.0     Busy        
22:43    Start Edge      AGV_1    5→2      26.0     Travelling  
22:50    Completed Edge  AGV_1    5→2      19.0     Busy        
22:50    Charge Start    AGV_1    -        26.0     Charging    
22:57    Charge Complete AGV_1    -        45       Free        
22:57    Start Edge      AGV_1    2→1      40.0     Travelling  
23:02    Completed Edge  AGV_1    2→1      35.0     Busy        
23:02    Start Edge      AGV_1    1→2      34.0     Travelling  
23:08    Completed Edge  AGV_1    1→2      28.0     Busy        
23:08    Start Edge      AGV_1    2→3      28.0     Travelling  
23:14    Completed Edge  AGV_1    2→3      22.0     Busy        
23:14    Charge Start    AGV_1    -        28.0     Charging    
23:20    Charge Complete AGV_1    -        45       Free        
23:20    Start Edge      AGV_1    3→2      40.0     Travelling  
23:25    Completed Edge  AGV_1    3→2      35.0     Busy        
23:25    Start Edge      AGV_1    2→5      33.0     Travelling  
23:32    Completed Edge  AGV_1    2→5      26.0     Busy        
23:32    Start Edge      AGV_1    5→8      26.0     Travelling  
23:39    Completed Edge  AGV_1    5→8      19.0     Busy        
23:39    Start Edge      AGV_1    8→5      18.0     Travelling  
23:47    Completed Edge  AGV_1    8→5      10.0     Busy        
